receiver_station,donor_station,distance_km,suggested_bikes_to_move
CONVENTION CENTRE,GEORGES QUAY,0.9073659329080995,12
GRANGEGORMAN LOWER (SOUTH),HEUSTON BRIDGE (NORTH),1.1895566747161423,12
HANOVER QUAY EAST,CUSTOM HOUSE,1.60524482738215,12
STATION118,PRINCES STREET / O'CONNELL STREET,1.985060307844419,12
LIME STREET,KILLARNEY STREET,1.015985282144684,11
YORK STREET EAST,PRINCES STREET / O'CONNELL STREET,1.1461546268454836,9
KING STREET NORTH,HEUSTON BRIDGE (SOUTH),1.2801950242046372,9
HIGH STREET,HEUSTON BRIDGE (SOUTH),1.1933366597173007,8
ECCLES STREET EAST,KILLARNEY STREET,1.25007871580475,8
FITZWILLIAM SQUARE EAST,CUSTOM HOUSE,1.4744021415545268,8
EARLSFORT TERRACE,CUSTOM HOUSE,1.5757199579541643,7
PARNELL SQUARE NORTH,KILLARNEY STREET,1.18255766424821,6
CHRISTCHURCH PLACE,HEUSTON BRIDGE (SOUTH),1.5133679167598126,6
FITZWILLIAM SQUARE EAST,GEORGES QUAY,1.370051646930145,4
HANOVER QUAY,KILLARNEY STREET,1.3792937374872765,3
YORK STREET EAST,CUSTOM HOUSE,1.1657693678518861,1
